1:ROR:>=(int,int):==(int,int):org.nibor.autolink.internal.Scanners@isAlpha(char):6:c >= 'A' |==> c == 'A'
2:ROR:>=(int,int):>(int,int):org.nibor.autolink.internal.Scanners@isAlpha(char):6:c >= 'A' |==> c > 'A'
3:ROR:>=(int,int):TRUE(int,int):org.nibor.autolink.internal.Scanners@isAlpha(char):6:c >= 'A' |==> true
4:ROR:<=(int,int):<(int,int):org.nibor.autolink.internal.Scanners@isAlpha(char):6:c <= 'Z' |==> c < 'Z'
5:ROR:<=(int,int):==(int,int):org.nibor.autolink.internal.Scanners@isAlpha(char):6:c <= 'Z' |==> c == 'Z'
6:ROR:<=(int,int):TRUE(int,int):org.nibor.autolink.internal.Scanners@isAlpha(char):6:c <= 'Z' |==> true
7:COR:&&(boolean,boolean):==(boolean,boolean):org.nibor.autolink.internal.Scanners@isAlpha(char):6:c >= 'A' && c <= 'Z' |==> c >= 'A' == c <= 'Z'
8:COR:&&(boolean,boolean):FALSE(boolean,boolean):org.nibor.autolink.internal.Scanners@isAlpha(char):6:c >= 'A' && c <= 'Z' |==> false
9:COR:&&(boolean,boolean):LHS(boolean,boolean):org.nibor.autolink.internal.Scanners@isAlpha(char):6:c >= 'A' && c <= 'Z' |==> c >= 'A'
10:COR:&&(boolean,boolean):RHS(boolean,boolean):org.nibor.autolink.internal.Scanners@isAlpha(char):6:c >= 'A' && c <= 'Z' |==> c <= 'Z'
11:ROR:>=(int,int):==(int,int):org.nibor.autolink.internal.Scanners@isAlpha(char):6:c >= 'a' |==> c == 'a'
12:ROR:>=(int,int):>(int,int):org.nibor.autolink.internal.Scanners@isAlpha(char):6:c >= 'a' |==> c > 'a'
13:ROR:>=(int,int):TRUE(int,int):org.nibor.autolink.internal.Scanners@isAlpha(char):6:c >= 'a' |==> true
14:ROR:<=(int,int):<(int,int):org.nibor.autolink.internal.Scanners@isAlpha(char):6:c <= 'z' |==> c < 'z'
15:ROR:<=(int,int):==(int,int):org.nibor.autolink.internal.Scanners@isAlpha(char):6:c <= 'z' |==> c == 'z'
16:ROR:<=(int,int):TRUE(int,int):org.nibor.autolink.internal.Scanners@isAlpha(char):6:c <= 'z' |==> true
17:COR:&&(boolean,boolean):==(boolean,boolean):org.nibor.autolink.internal.Scanners@isAlpha(char):6:c >= 'a' && c <= 'z' |==> c >= 'a' == c <= 'z'
18:COR:&&(boolean,boolean):FALSE(boolean,boolean):org.nibor.autolink.internal.Scanners@isAlpha(char):6:c >= 'a' && c <= 'z' |==> false
19:COR:&&(boolean,boolean):LHS(boolean,boolean):org.nibor.autolink.internal.Scanners@isAlpha(char):6:c >= 'a' && c <= 'z' |==> c >= 'a'
20:COR:&&(boolean,boolean):RHS(boolean,boolean):org.nibor.autolink.internal.Scanners@isAlpha(char):6:c >= 'a' && c <= 'z' |==> c <= 'z'
21:COR:||(boolean,boolean):!=(boolean,boolean):org.nibor.autolink.internal.Scanners@isAlpha(char):6:(c >= 'A' && c <= 'Z') || (c >= 'a' && c <= 'z') |==> (c >= 'A' && c <= 'Z') != (c >= 'a' && c <= 'z')
22:COR:||(boolean,boolean):LHS(boolean,boolean):org.nibor.autolink.internal.Scanners@isAlpha(char):6:(c >= 'A' && c <= 'Z') || (c >= 'a' && c <= 'z') |==> (c >= 'A' && c <= 'Z')
23:COR:||(boolean,boolean):RHS(boolean,boolean):org.nibor.autolink.internal.Scanners@isAlpha(char):6:(c >= 'A' && c <= 'Z') || (c >= 'a' && c <= 'z') |==> (c >= 'a' && c <= 'z')
24:COR:||(boolean,boolean):TRUE(boolean,boolean):org.nibor.autolink.internal.Scanners@isAlpha(char):6:(c >= 'A' && c <= 'Z') || (c >= 'a' && c <= 'z') |==> true
25:ROR:>=(int,int):==(int,int):org.nibor.autolink.internal.Scanners@isDigit(char):10:c >= '0' |==> c == '0'
26:ROR:>=(int,int):>(int,int):org.nibor.autolink.internal.Scanners@isDigit(char):10:c >= '0' |==> c > '0'
27:ROR:>=(int,int):TRUE(int,int):org.nibor.autolink.internal.Scanners@isDigit(char):10:c >= '0' |==> true
28:ROR:<=(int,int):<(int,int):org.nibor.autolink.internal.Scanners@isDigit(char):10:c <= '9' |==> c < '9'
29:ROR:<=(int,int):==(int,int):org.nibor.autolink.internal.Scanners@isDigit(char):10:c <= '9' |==> c == '9'
30:ROR:<=(int,int):TRUE(int,int):org.nibor.autolink.internal.Scanners@isDigit(char):10:c <= '9' |==> true
31:COR:&&(boolean,boolean):==(boolean,boolean):org.nibor.autolink.internal.Scanners@isDigit(char):10:c >= '0' && c <= '9' |==> c >= '0' == c <= '9'
32:COR:&&(boolean,boolean):FALSE(boolean,boolean):org.nibor.autolink.internal.Scanners@isDigit(char):10:c >= '0' && c <= '9' |==> false
33:COR:&&(boolean,boolean):LHS(boolean,boolean):org.nibor.autolink.internal.Scanners@isDigit(char):10:c >= '0' && c <= '9' |==> c >= '0'
34:COR:&&(boolean,boolean):RHS(boolean,boolean):org.nibor.autolink.internal.Scanners@isDigit(char):10:c >= '0' && c <= '9' |==> c <= '9'
35:COR:||(boolean,boolean):!=(boolean,boolean):org.nibor.autolink.internal.Scanners@isAlnum(char):14:isAlpha(c) || isDigit(c) |==> isAlpha(c) != isDigit(c)
36:COR:||(boolean,boolean):LHS(boolean,boolean):org.nibor.autolink.internal.Scanners@isAlnum(char):14:isAlpha(c) || isDigit(c) |==> isAlpha(c)
37:COR:||(boolean,boolean):RHS(boolean,boolean):org.nibor.autolink.internal.Scanners@isAlnum(char):14:isAlpha(c) || isDigit(c) |==> isDigit(c)
38:COR:||(boolean,boolean):TRUE(boolean,boolean):org.nibor.autolink.internal.Scanners@isAlnum(char):14:isAlpha(c) || isDigit(c) |==> true
39:LVR:POS:0:org.nibor.autolink.internal.Scanners@isNonAscii(char):18:128 |==> 0
40:LVR:POS:NEG:org.nibor.autolink.internal.Scanners@isNonAscii(char):18:128 |==> -128
41:ROR:>=(int,int):==(int,int):org.nibor.autolink.internal.Scanners@isNonAscii(char):18:c >= 128 |==> c == 128
42:ROR:>=(int,int):>(int,int):org.nibor.autolink.internal.Scanners@isNonAscii(char):18:c >= 128 |==> c > 128
43:ROR:>=(int,int):TRUE(int,int):org.nibor.autolink.internal.Scanners@isNonAscii(char):18:c >= 128 |==> true
44:LVR:0:POS:org.nibor.autolink.internal.Scanners@findUrlEnd(java.lang.CharSequence,int):22:0 |==> 1
45:LVR:0:NEG:org.nibor.autolink.internal.Scanners@findUrlEnd(java.lang.CharSequence,int):22:0 |==> -1
46:LVR:0:POS:org.nibor.autolink.internal.Scanners@findUrlEnd(java.lang.CharSequence,int):23:0 |==> 1
47:LVR:0:NEG:org.nibor.autolink.internal.Scanners@findUrlEnd(java.lang.CharSequence,int):23:0 |==> -1
48:LVR:0:POS:org.nibor.autolink.internal.Scanners@findUrlEnd(java.lang.CharSequence,int):24:0 |==> 1
49:LVR:0:NEG:org.nibor.autolink.internal.Scanners@findUrlEnd(java.lang.CharSequence,int):24:0 |==> -1
50:LVR:FALSE:TRUE:org.nibor.autolink.internal.Scanners@findUrlEnd(java.lang.CharSequence,int):25:false |==> true
51:LVR:FALSE:TRUE:org.nibor.autolink.internal.Scanners@findUrlEnd(java.lang.CharSequence,int):26:false |==> true
52:LVR:NEG:0:org.nibor.autolink.internal.Scanners@findUrlEnd(java.lang.CharSequence,int):27:-1 |==> 0
53:LVR:NEG:POS:org.nibor.autolink.internal.Scanners@findUrlEnd(java.lang.CharSequence,int):27:-1 |==> 1
54:EVR:<IDENTIFIER(int)>:<DEFAULT>:org.nibor.autolink.internal.Scanners@findUrlEnd(java.lang.CharSequence,int):29:beginIndex |==> 0
55:ROR:<(int,int):!=(int,int):org.nibor.autolink.internal.Scanners@findUrlEnd(java.lang.CharSequence,int):29:i < input.length() |==> i != input.length()
56:ROR:<(int,int):<=(int,int):org.nibor.autolink.internal.Scanners@findUrlEnd(java.lang.CharSequence,int):29:i < input.length() |==> i <= input.length()
