invariant,ppt,iteration,mutant
this != null,org.apache.commons.math3.util.MathUtilsNew.MathUtilsNew():::EXIT,1,experiments/MathUtilsNew_copySignInt/setup-files/mutants/MathUtilsNewTesterDriver-m1.dtrace.gz
this != null,org.apache.commons.math3.util.MathUtilsNew.MathUtilsNew():::EXIT33,1,experiments/MathUtilsNew_copySignInt/setup-files/mutants/MathUtilsNewTesterDriver-m1.dtrace.gz
this != null,org.apache.commons.math3.util.MathUtilsNew.MathUtilsNew():::EXIT,1,experiments/MathUtilsNew_copySignInt/setup-files/mutants/MathUtilsNewTesterDriver-m10.dtrace.gz
this != null,org.apache.commons.math3.util.MathUtilsNew.MathUtilsNew():::EXIT33,1,experiments/MathUtilsNew_copySignInt/setup-files/mutants/MathUtilsNewTesterDriver-m10.dtrace.gz
this != null,org.apache.commons.math3.util.MathUtilsNew.MathUtilsNew():::EXIT,1,experiments/MathUtilsNew_copySignInt/setup-files/mutants/MathUtilsNewTesterDriver-m11.dtrace.gz
this != null,org.apache.commons.math3.util.MathUtilsNew.MathUtilsNew():::EXIT33,1,experiments/MathUtilsNew_copySignInt/setup-files/mutants/MathUtilsNewTesterDriver-m11.dtrace.gz
this != null,org.apache.commons.math3.util.MathUtilsNew.MathUtilsNew():::EXIT,1,experiments/MathUtilsNew_copySignInt/setup-files/mutants/MathUtilsNewTesterDriver-m12.dtrace.gz
this != null,org.apache.commons.math3.util.MathUtilsNew.MathUtilsNew():::EXIT33,1,experiments/MathUtilsNew_copySignInt/setup-files/mutants/MathUtilsNewTesterDriver-m12.dtrace.gz
this != null,org.apache.commons.math3.util.MathUtilsNew.MathUtilsNew():::EXIT,1,experiments/MathUtilsNew_copySignInt/setup-files/mutants/MathUtilsNewTesterDriver-m13.dtrace.gz
this != null,org.apache.commons.math3.util.MathUtilsNew.MathUtilsNew():::EXIT33,1,experiments/MathUtilsNew_copySignInt/setup-files/mutants/MathUtilsNewTesterDriver-m13.dtrace.gz
this != null,org.apache.commons.math3.util.MathUtilsNew.MathUtilsNew():::EXIT,1,experiments/MathUtilsNew_copySignInt/setup-files/mutants/MathUtilsNewTesterDriver-m14.dtrace.gz
this != null,org.apache.commons.math3.util.MathUtilsNew.MathUtilsNew():::EXIT33,1,experiments/MathUtilsNew_copySignInt/setup-files/mutants/MathUtilsNewTesterDriver-m14.dtrace.gz
this != null,org.apache.commons.math3.util.MathUtilsNew.MathUtilsNew():::EXIT,1,experiments/MathUtilsNew_copySignInt/setup-files/mutants/MathUtilsNewTesterDriver-m15.dtrace.gz
this != null,org.apache.commons.math3.util.MathUtilsNew.MathUtilsNew():::EXIT33,1,experiments/MathUtilsNew_copySignInt/setup-files/mutants/MathUtilsNewTesterDriver-m15.dtrace.gz
this != null,org.apache.commons.math3.util.MathUtilsNew.MathUtilsNew():::EXIT,1,experiments/MathUtilsNew_copySignInt/setup-files/mutants/MathUtilsNewTesterDriver-m16.dtrace.gz
this != null,org.apache.commons.math3.util.MathUtilsNew.MathUtilsNew():::EXIT33,1,experiments/MathUtilsNew_copySignInt/setup-files/mutants/MathUtilsNewTesterDriver-m16.dtrace.gz
this != null,org.apache.commons.math3.util.MathUtilsNew.MathUtilsNew():::EXIT,1,experiments/MathUtilsNew_copySignInt/setup-files/mutants/MathUtilsNewTesterDriver-m17.dtrace.gz
this != null,org.apache.commons.math3.util.MathUtilsNew.MathUtilsNew():::EXIT33,1,experiments/MathUtilsNew_copySignInt/setup-files/mutants/MathUtilsNewTesterDriver-m17.dtrace.gz
this != null,org.apache.commons.math3.util.MathUtilsNew.MathUtilsNew():::EXIT,1,experiments/MathUtilsNew_copySignInt/setup-files/mutants/MathUtilsNewTesterDriver-m18.dtrace.gz
this != null,org.apache.commons.math3.util.MathUtilsNew.MathUtilsNew():::EXIT33,1,experiments/MathUtilsNew_copySignInt/setup-files/mutants/MathUtilsNewTesterDriver-m18.dtrace.gz
this != null,org.apache.commons.math3.util.MathUtilsNew.MathUtilsNew():::EXIT,1,experiments/MathUtilsNew_copySignInt/setup-files/mutants/MathUtilsNewTesterDriver-m19.dtrace.gz
this != null,org.apache.commons.math3.util.MathUtilsNew.MathUtilsNew():::EXIT33,1,experiments/MathUtilsNew_copySignInt/setup-files/mutants/MathUtilsNewTesterDriver-m19.dtrace.gz
this != null,org.apache.commons.math3.util.MathUtilsNew.MathUtilsNew():::EXIT,1,experiments/MathUtilsNew_copySignInt/setup-files/mutants/MathUtilsNewTesterDriver-m2.dtrace.gz
this != null,org.apache.commons.math3.util.MathUtilsNew.MathUtilsNew():::EXIT33,1,experiments/MathUtilsNew_copySignInt/setup-files/mutants/MathUtilsNewTesterDriver-m2.dtrace.gz
this != null,org.apache.commons.math3.util.MathUtilsNew.MathUtilsNew():::EXIT,1,experiments/MathUtilsNew_copySignInt/setup-files/mutants/MathUtilsNewTesterDriver-m20.dtrace.gz
this != null,org.apache.commons.math3.util.MathUtilsNew.MathUtilsNew():::EXIT33,1,experiments/MathUtilsNew_copySignInt/setup-files/mutants/MathUtilsNewTesterDriver-m20.dtrace.gz
this != null,org.apache.commons.math3.util.MathUtilsNew.MathUtilsNew():::EXIT,1,experiments/MathUtilsNew_copySignInt/setup-files/mutants/MathUtilsNewTesterDriver-m21.dtrace.gz
this != null,org.apache.commons.math3.util.MathUtilsNew.MathUtilsNew():::EXIT33,1,experiments/MathUtilsNew_copySignInt/setup-files/mutants/MathUtilsNewTesterDriver-m21.dtrace.gz
this != null,org.apache.commons.math3.util.MathUtilsNew.MathUtilsNew():::EXIT,1,experiments/MathUtilsNew_copySignInt/setup-files/mutants/MathUtilsNewTesterDriver-m22.dtrace.gz
this != null,org.apache.commons.math3.util.MathUtilsNew.MathUtilsNew():::EXIT33,1,experiments/MathUtilsNew_copySignInt/setup-files/mutants/MathUtilsNewTesterDriver-m22.dtrace.gz
this != null,org.apache.commons.math3.util.MathUtilsNew.MathUtilsNew():::EXIT,1,experiments/MathUtilsNew_copySignInt/setup-files/mutants/MathUtilsNewTesterDriver-m23.dtrace.gz
this != null,org.apache.commons.math3.util.MathUtilsNew.MathUtilsNew():::EXIT33,1,experiments/MathUtilsNew_copySignInt/setup-files/mutants/MathUtilsNewTesterDriver-m23.dtrace.gz
this != null,org.apache.commons.math3.util.MathUtilsNew.MathUtilsNew():::EXIT,1,experiments/MathUtilsNew_copySignInt/setup-files/mutants/MathUtilsNewTesterDriver-m24.dtrace.gz
this != null,org.apache.commons.math3.util.MathUtilsNew.MathUtilsNew():::EXIT33,1,experiments/MathUtilsNew_copySignInt/setup-files/mutants/MathUtilsNewTesterDriver-m24.dtrace.gz
this != null,org.apache.commons.math3.util.MathUtilsNew.MathUtilsNew():::EXIT,1,experiments/MathUtilsNew_copySignInt/setup-files/mutants/MathUtilsNewTesterDriver-m26.dtrace.gz
