1:LVR:0:POS:examples.RingBuffer@<init>(int):47:0 |==> 1
2:LVR:0:NEG:examples.RingBuffer@<init>(int):47:0 |==> -1
3:ROR:>(int,int):!=(int,int):examples.RingBuffer@<init>(int):47:n > 0 |==> n != 0
12:STD:<ASSIGN>:<NO-OP>:examples.RingBuffer@<init>(int):49:data = new ArrayList<G>(n + 1) |==> <NO-OP>
13:STD:<CALL>:<NO-OP>:examples.RingBuffer@<init>(int):50:data.add(null) |==> <NO-OP>
14:LVR:POS:0:examples.RingBuffer@<init>(int):51:1 |==> 0
15:LVR:POS:NEG:examples.RingBuffer@<init>(int):51:1 |==> -1
16:STD:<ASSIGN>:<NO-OP>:examples.RingBuffer@<init>(int):51:start = 1 |==> <NO-OP>
17:LVR:POS:0:examples.RingBuffer@<init>(int):52:1 |==> 0
18:LVR:POS:NEG:examples.RingBuffer@<init>(int):52:1 |==> -1
19:STD:<ASSIGN>:<NO-OP>:examples.RingBuffer@<init>(int):52:free = 1 |==> <NO-OP>
20:STD:<ASSIGN>:<NO-OP>:examples.RingBuffer@<init>(int):53:capacity_ = n |==> <NO-OP>
25:ROR:>(int,int):!=(int,int):examples.RingBuffer@count():84:free > start |==> free != start
26:ROR:>(int,int):>=(int,int):examples.RingBuffer@count():84:free > start |==> free >= start
27:ROR:>(int,int):FALSE(int,int):examples.RingBuffer@count():84:free > start |==> false
28:AOR:-(int,int):%(int,int):examples.RingBuffer@count():85:free - start |==> free % start
32:LVR:POS:0:examples.RingBuffer@count():87:1 |==> 0
33:LVR:POS:NEG:examples.RingBuffer@count():87:1 |==> -1
